Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Cuba,CUB,4.98,..,..,..,..,5.36,..,..,..,..,5.02,..,..,..,..,5.67,..,..,5.83,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Cyprus,CYP,10.86,..,..,..,..,12.43,..,..,..,..,11.35,..,..,..,..,10.76,..,..,10.81,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Czech Republic,CZE,15,..,..,..,..,14.76,..,..,..,..,14.06,..,..,..,..,14.25,..,..,14.45,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Denmark,DNK,12.67,..,..,..,..,12.29,..,..,..,..,11,..,..,..,..,10.36,..,..,10.26,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Djibouti,DJI,1.62,..,..,..,..,1.28,..,..,..,..,0.67,..,..,..,..,0.49,..,..,0.43,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Dominica,DMA,8.38,..,..,..,..,8.72,..,..,..,..,9.65,..,..,..,..,11.32,..,..,11.18,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Dominican Republic,DOM,7.19,..,..,..,..,6.15,..,..,..,..,6.11,..,..,..,..,6.61,..,..,6.68,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Ecuador,ECU,5.96,..,..,..,..,5.81,..,..,..,..,6.16,..,..,..,..,4.98,..,..,4.2,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Egypt  Arab Rep.,EGY,0.25,..,..,..,..,0.29,..,..,..,..,0.36,..,..,..,..,0.4,..,..,0.36,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,El Salvador,SLV,3.86,..,..,..,..,3.8,..,..,..,..,3.31,..,..,..,..,3.59,..,..,3.89,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Equatorial Guinea,GNQ,7.45,..,..,..,..,8.91,..,..,..,..,9.2,..,..,..,..,9.08,..,..,7.23,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Eritrea,ERI,1.57,..,..,..,..,2.08,..,..,..,..,1.38,..,..,..,..,1.42,..,..,1.44,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Estonia,EST,9.57,..,..,..,..,15.65,..,..,..,..,12.39,..,..,..,..,12.39,..,..,9.23,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Ethiopia,ETH,1.76,..,..,..,..,2.05,..,..,..,..,2.5,..,..,..,..,2.19,..,..,2.36,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Fiji,FJI,3.24,..,..,..,..,2.78,..,..,..,..,3,..,..,..,..,3.33,..,..,3.32,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Finland,FIN,11.69,..,..,..,..,13.11,..,..,..,..,12.59,..,..,..,..,11.18,..,..,10.78,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,France,FRA,14.08,..,..,..,..,13.09,..,..,..,..,12.4,..,..,..,..,12.64,..,..,12.33,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Gabon,GAB,10.59,..,..,..,..,9.36,..,..,..,..,9.89,..,..,..,..,9.57,..,..,8.74,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Gambia  The,GMB,4.14,..,..,..,..,4.27,..,..,..,..,3.81,..,..,..,..,3.67,..,..,3.55,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Georgia,GEO,4.41,..,..,..,..,6.39,..,..,..,..,9.67,..,..,..,..,9.61,..,..,8.25,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Germany,DEU,14.16,..,..,..,..,13.28,..,..,..,..,12.64,..,..,..,..,13.06,..,..,12.91,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Ghana,GHA,5.3,..,..,..,..,3.77,..,..,..,..,4.26,..,..,..,..,3.12,..,..,2.75,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Greece,GRC,10.18,..,..,..,..,10.73,..,..,..,..,9.67,..,..,..,..,10.49,..,..,10.18,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Grenada,GRD,9.8,..,..,..,..,8.76,..,..,..,..,8.31,..,..,..,..,9.07,..,..,9.48,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Guatemala,GTM,4.4,..,..,..,..,4.29,..,..,..,..,3.51,..,..,..,..,2.55,..,..,2.45,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Guinea,GIN,0.67,..,..,..,..,0.77,..,..,..,..,0.7,..,..,..,..,1.07,..,..,1.11,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Guinea-Bissau,GNB,4.15,..,..,..,..,5.31,..,..,..,..,4.47,..,..,..,..,5.05,..,..,5.38,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Guyana,GUY,8.98,..,..,..,..,7.98,..,..,..,..,6.78,..,..,..,..,7.35,..,..,6.89,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Haiti,HTI,3.97,..,..,..,..,3.86,..,..,..,..,2.99,..,..,..,..,2.69,..,..,2.73,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Honduras,HND,3.5,..,..,..,..,3.88,..,..,..,..,3.59,..,..,..,..,3.49,..,..,3.76,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Hong Kong SAR  China,HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Hungary,HUN,14.27,..,..,..,..,14.56,..,..,..,..,12.09,..,..,..,..,11.6,..,..,11.35,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Iceland,ISL,7.03,..,..,..,..,7.74,..,..,..,..,7.5,..,..,..,..,8.74,..,..,9.12,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,India,IND,2.28,..,..,..,..,2.33,..,..,..,..,4.35,..,..,..,..,5.54,..,..,5.54,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Indonesia,IDN,0.5,..,..,..,..,0.48,..,..,..,..,0.59,..,..,..,..,0.6,..,..,0.57,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Iran  Islamic Rep.,IRN,0.21,..,..,..,..,0.58,..,..,..,..,1.01,..,..,..,..,1.01,..,..,1.03,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Iraq,IRQ,0.45,..,..,..,..,0.44,..,..,..,..,0.49,..,..,..,..,0.37,..,..,0.39,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Ireland,IRL,15.13,..,..,..,..,14.2,..,..,..,..,12.07,..,..,..,..,12.47,..,..,12.88,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Israel,ISR,3.08,..,..,..,..,2.7,..,..,..,..,3.12,..,..,..,..,3.86,..,..,4.21,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Italy,ITA,10.37,..,..,..,..,9.41,..,..,..,..,7.34,..,..,..,..,7.59,..,..,7.84,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Jamaica,JAM,4.91,..,..,..,..,4.43,..,..,..,..,4.38,..,..,..,..,4.19,..,..,4.22,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Japan,JPN,8.23,..,..,..,..,7.99,..,..,..,..,7.2,..,..,..,..,7.87,..,..,7.96,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Jordan,JOR,0.62,..,..,..,..,0.66,..,..,..,..,0.64,..,..,..,..,0.69,..,..,0.69,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Kazakhstan,KAZ,8.18,..,..,..,..,9.33,..,..,..,..,4.97,..,..,..,..,4.66,..,..,4.76,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Kenya,KEN,3.83,..,..,..,..,3.01,..,..,..,..,3.29,..,..,..,..,2.77,..,..,2.78,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Kiribati,KIR,1.96,..,..,..,..,2.16,..,..,..,..,1.65,..,..,..,..,0.52,..,..,0.46,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Korea  Dem. People's Rep.,PRK,3.52,..,..,..,..,3.68,..,..,..,..,3.78,..,..,..,..,3.82,..,..,3.8,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Korea  Rep.,KOR,12.31,..,..,..,..,10.58,..,..,..,..,9.97,..,..,..,..,10.04,..,..,9.7,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Kuwait,KWT,0.038,..,..,..,..,0.019,..,..,..,..,0.032,..,..,..,..,0.003,..,..,0.003,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Kyrgyz Republic,KGZ,9.45,..,..,..,..,11.19,..,..,..,..,10.08,..,..,..,..,7.59,..,..,6.26,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Lao PDR,LAO,4.66,..,..,..,..,4.37,..,..,..,..,7.1,..,..,..,..,10.05,..,..,10.72,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Latvia,LVA,8.76,..,..,..,..,11.96,..,..,..,..,11.63,..,..,..,..,12.64,..,..,12.77,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Lebanon,LBN,2.96,..,..,..,..,2.31,..,..,..,..,1.94,..,..,..,..,1.65,..,..,1.71,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Lesotho,LSO,7.31,..,..,..,..,5.37,..,..,..,..,6.5,..,..,..,..,4.8,..,..,4.59,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Liberia,LBR,6.38,..,..,..,..,6.05,..,..,..,..,5.37,..,..,..,..,5.7,..,..,6.12,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Libya,LBY,0.064,..,..,..,..,0.083,..,..,..,..,0.098,..,..,..,..,0.029,..,..,0.019,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Lithuania,LTU,13.36,..,..,..,..,16.1,..,..,..,..,15.25,..,..,..,..,15.38,..,..,13.22,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Luxembourg,LUX,14.32,..,..,..,..,13.58,..,..,..,..,12.98,..,..,..,..,13.18,..,..,12.94,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Macao SAR  China,MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,North Macedonia,MKD,7.31,..,..,..,..,7.03,..,..,..,..,5.93,..,..,..,..,5.93,..,..,6.16,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Madagascar,MDG,2.11,..,..,..,..,1.53,..,..,..,..,1.87,..,..,..,..,1.88,..,..,1.97,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Malawi,MWI,2.42,..,..,..,..,2.87,..,..,..,..,3.21,..,..,..,..,3.62,..,..,3.63,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Malaysia,MYS,1.53,..,..,..,..,1.28,..,..,..,..,1.32,..,..,..,..,0.85,..,..,0.85,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Maldives,MDV,2.04,..,..,..,..,1.52,..,..,..,..,1.65,..,..,..,..,2.07,..,..,2.22,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Mali,MLI,1.15,..,..,..,..,1.05,..,..,..,..,1.09,..,..,..,..,1.25,..,..,1.28,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Malta,MLT,5.72,..,..,..,..,6.65,..,..,..,..,6.58,..,..,..,..,7.56,..,..,7.99,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Mauritania,MRT,0.2,..,..,..,..,0.13,..,..,..,..,0.086,..,..,..,..,0.033,..,..,0.036,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Mauritius,MUS,5.49,..,..,..,..,5,..,..,..,..,3.81,..,..,..,..,3.94,..,..,4.35,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Mexico,MEX,6.43,..,..,..,..,6.48,..,..,..,..,5.21,..,..,..,..,4.92,..,..,5,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Micronesia  Fed. Sts.,FSM,3.86,..,..,..,..,2.78,..,..,..,..,2.85,..,..,..,..,2.44,..,..,2.48,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Moldova,MDA,13.89,..,..,..,..,19.95,..,..,..,..,15.54,..,..,..,..,11.87,..,..,11.43,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Mongolia,MNG,3.11,..,..,..,..,5.28,..,..,..,..,9.65,..,..,..,..,10.97,..,..,8.19,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,15.07,..,..,..,..,10.92,..,..,11.47,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Morocco,MAR,1.01,..,..,..,..,0.96,..,..,..,..,0.9,..,..,..,..,0.7,..,..,0.69,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Mozambique,MOZ,2.33,..,..,..,..,1.3,..,..,..,..,1.63,..,..,..,..,2.19,..,..,2.3,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Myanmar,MMR,0.38,..,..,..,..,1.65,..,..,..,..,2.9,..,..,..,..,4.41,..,..,5.12,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Namibia,NAM,3.26,..,..,..,..,2.7,..,..,..,..,1.99,..,..,..,..,5.23,..,..,5.43,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Nauru,NRU,6.04,..,..,..,..,3.4,..,..,..,..,5.73,..,..,..,..,3.71,..,..,3.71,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Nepal,NPL,1.12,..,..,..,..,1.95,..,..,..,..,1.94,..,..,..,..,2.05,..,..,2.05,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Netherlands,NLD,11.08,..,..,..,..,10.71,..,..,..,..,10.21,..,..,..,..,9.55,..,..,9.61,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,New Zealand,NZL,10.42,..,..,..,..,10.92,..,..,..,..,11.32,..,..,..,..,10.44,..,..,10.63,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Nicaragua,NIC,5.05,..,..,..,..,5.3,..,..,..,..,4.79,..,..,..,..,5.03,..,..,5.18,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Niger,NER,0.23,..,..,..,..,0.25,..,..,..,..,0.31,..,..,..,..,0.55,..,..,0.67,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Nigeria,NGA,12.5,..,..,..,..,12.51,..,..,..,..,11.72,..,..,..,..,10.81,..,..,10.84,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Norway,NOR,7.95,..,..,..,..,8.87,..,..,..,..,8.94,..,..,..,..,7.52,..,..,7.41,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Oman,OMN,6.56,..,..,..,..,1.56,..,..,..,..,0.73,..,..,..,..,0.77,..,..,0.78,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Pakistan,PAK,0.085,..,..,..,..,0.16,..,..,..,..,0.19,..,..,..,..,0.29,..,..,0.34,..,..
