Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Cameroon,CMR,Regulatory Quality: Estimate,RQ.EST,-0.5900958,-0.8739079,-0.839056,-0.6915929,-0.9296345,-0.8483388,-0.8477936,-0.8271499,-0.7615821,-0.7441876,-0.8069494,-0.9286842,-0.9374695,-0.8845948,-0.9170986,-0.7898978,-0.8213113,-0.798317,-0.8267207,-0.8171073
Canada,CAN,Regulatory Quality: Estimate,RQ.EST,1.523343,1.58165,1.557192,1.62667,1.566931,1.55885,1.605411,1.650838,1.699475,1.695867,1.691034,1.714616,1.739304,1.845022,1.717661,1.73882,1.889669,1.706076,1.716236,1.595805
Cayman Islands,CYM,Regulatory Quality: Estimate,RQ.EST,1.276005,1.468842,1.447286,1.472531,1.360657,1.350138,1.377706,1.146509,1.164975,1.15917,1.140772,1.108562,1.118897,0.8524853,0.8151542,0.7873485,0.7555286,0.9759164,0.9828503,1.054463
Central African Republic,CAF,Regulatory Quality: Estimate,RQ.EST,-0.8630769,-1.079601,-1.104644,-1.204948,-1.340983,-1.260503,-1.293416,-1.206067,-1.255856,-1.159351,-1.191609,-1.077462,-1.172318,-1.393427,-1.439941,-1.427307,-1.478067,-1.369948,-1.372842,-1.537033
Chad,TCD,Regulatory Quality: Estimate,RQ.EST,-0.751563,-0.8945824,-0.9071748,-0.854122,-1.236425,-1.102796,-1.133406,-1.175087,-1.06258,-1.068313,-1.025349,-1.072346,-0.9917988,-1.158972,-1.210751,-1.180022,-1.207961,-1.113601,-1.119378,-1.137971
Chile,CHL,Regulatory Quality: Estimate,RQ.EST,1.410081,1.44762,1.459134,1.402693,1.357459,1.473752,1.505748,1.518668,1.462517,1.438484,1.459092,1.538509,1.491449,1.494421,1.345232,1.373064,1.350113,1.335477,1.223731,1.052093
China,CHN,Regulatory Quality: Estimate,RQ.EST,-0.3392896,-0.513172,-0.3333692,-0.3086975,-0.1500192,-0.2011652,-0.1715566,-0.1547905,-0.2238316,-0.234011,-0.2214281,-0.2408196,-0.2879804,-0.2829926,-0.2894387,-0.2644748,-0.1467606,-0.1862563,-0.2445802,-0.0808021
Colombia,COL,Regulatory Quality: Estimate,RQ.EST,0.1026202,0.0282163,-0.0879301,-0.0465544,0.0079865,0.1017461,0.2413717,0.2619745,0.1482843,0.2534749,0.3592378,0.4006766,0.4028929,0.4962346,0.4654272,0.4020093,0.3411354,0.3176741,0.3965637,0.3171094
Comoros,COM,Regulatory Quality: Estimate,RQ.EST,-1.23706,-1.0955,-1.365606,-1.470375,-1.505809,-1.489534,-1.44984,-1.494797,-1.548741,-1.423614,-1.361312,-1.391064,-1.201662,-1.104208,-1.029055,-1.049556,-1.035068,-1.110248,-1.118452,-1.178481
Congo Dem. Rep.,COD,Regulatory Quality: Estimate,RQ.EST,-2.027446,-1.468978,-1.475788,-1.607705,-1.683722,-1.314578,-1.254051,-1.296066,-1.529051,-1.586182,-1.521802,-1.489312,-1.233635,-1.362629,-1.34549,-1.323978,-1.463433,-1.4711,-1.50859,-1.540846
Congo Rep.,COG,Regulatory Quality: Estimate,RQ.EST,-1.205544,-1.018046,-1.066752,-0.971538,-1.314487,-1.212756,-1.203904,-1.267693,-1.287886,-1.27373,-1.26487,-1.359338,-1.333404,-1.214696,-1.195739,-1.165628,-1.327535,-1.330903,-1.299283,-1.431044
Cook Islands,COK,Regulatory Quality: Estimate,RQ.EST,0.3882081,0.3826776,0.3189074,0.2594865,0.5601183,0.5904117,0.1443957,..,-0.9418253,-1.236971,-1.169229,-1.139807,-1.159103,..,..,..,..,..,..,..
Costa Rica,CRI,Regulatory Quality: Estimate,RQ.EST,0.5708783,0.3941818,0.6004493,0.5156232,0.5835223,0.381426,0.4184185,0.4572019,0.42198,0.4651055,0.4497046,0.5717511,0.5832982,0.5148572,0.5257646,0.4074337,0.3463587,0.4885781,0.4971444,0.4498657
Cote d'Ivoire,CIV,Regulatory Quality: Estimate,RQ.EST,-0.5123319,-0.4201515,-0.7841697,-0.9582267,-0.8962979,-0.9197752,-0.8458249,-0.9032416,-0.9707215,-0.9260469,-0.8695123,-0.764886,-0.7363843,-0.5945303,-0.504151,-0.3648906,-0.360639,-0.2026825,-0.2433622,-0.2758446
Croatia,HRV,Regulatory Quality: Estimate,RQ.EST,-0.0296176,0.3204752,0.5090582,0.5356511,0.5099912,0.4197808,0.4911637,0.5098007,0.5598809,0.5743341,0.5373026,0.4582827,0.4630746,0.3950692,0.3640225,0.3562783,0.4240429,0.5371523,0.5906433,0.43394
Cuba,CUB,Regulatory Quality: Estimate,RQ.EST,-1.232174,-1.285342,-1.424122,-1.596839,-1.314237,-1.429788,-1.556243,-1.497101,-1.603957,-1.671379,-1.626527,-1.560556,-1.583988,-1.325052,-1.22355,-1.338703,-1.328484,-1.459466,-1.486811,-1.504454
Cyprus,CYP,Regulatory Quality: Estimate,RQ.EST,1.137256,1.236986,1.214373,1.228797,1.221836,1.27707,1.331325,1.367876,1.362604,1.423306,1.236406,1.130751,0.9171373,1.098858,1.062325,1.052626,1.032462,0.8727556,1.012434,1.002475
