Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Israel,ISR,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,6.10131978988647,6.36227989196777,6.4510498046875,6.33136987686157,5.93342018127441,5.75444984436035,5.75588989257813,5.49882984161377,5.52945995330811,5.49372005462646,5.53525018692017,5.57658004760742,5.69996976852417,5.88374996185303,5.78351020812988,5.86124992370605,5.8632698059082,6.10272979736328,6.1648998260498,..,..
Italy,ITA,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,4.29107999801636,4.65009021759033,4.43240976333618,4.54179000854492,4.38520002365112,4.23829984664917,4.52545022964478,4.10503005981445,4.38794994354248,4.52371978759766,4.33411979675293,4.11568021774292,4.05601978302002,4.14367008209229,4.06127977371216,4.07362985610962,3.81578993797302,4.04493999481201,4.2557201385498,..,..
Jamaica,JAM,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,4.98346996307373,5.38103008270264,5.37522983551025,4.25684976577759,3.91254997253418,4.61641979217529,..,5.49022006988525,6.19131994247437,6.19848012924194,6.37060022354126,6.26664018630981,6.11246013641357,6.25108003616333,6.01586008071899,5.45521020889282,5.31461000442505,5.26016998291016,5.41380977630615,5.16364002227783,5.40337991714478
Japan,JPN,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,3.09999990463257,3.40000009536743,3.5,3.5,..,..,3.45282006263733,3.22853994369507,2.98481011390686,2.98847007751465,..
Kazakhstan,KAZ,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.25661993026733,..,3.02970004081726,..,2.25590991973877,2.26353001594543,2.62678003311157,2.83138990402222,2.58945989608765,3.06071996688843,3.46226000785828,3.4935200214386,3.9016900062561,3.43737006187439,3.42164993286133,2.7885799407959,2.97810006141663,2.75081992149353,2.61595010757446,2.8569700717926,..
Kenya,KEN,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,5.1867299079895,5.20621013641357,6.17199993133545,6.49426984786987,6.79692983627319,7.3356499671936,7.04983997344971,..,..,..,5.50822019577026,5.33528995513916,5.50903987884521,5.41137981414795,5.28021001815796,5.27133989334106,5.36266994476318,5.36668014526367,5.30625009536743,4.97439002990723,5.07996988296509
Kiribati,KIR,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,11.1858701705933,11.9881200790405,..,..,..,..,..,..,..,..,..,12.9700002670288,13.3843803405762,12.0265302658081,11.2323703765869,9.86295986175537,10.0935897827148,10.8631601333618,11.9682903289795,12.3946599960327,..
Korea Dem. People's Rep.,PRK,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Korea Rep.,KOR,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.33309984207153,4.32823991775513,4.45807981491089,..,..
