Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Korea Rep.,KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,12256.9935679503,11561.2483689073,13165.0657360554,14672.8574703505,16496.1200942502,19402.5026259549,21743.4774514254,24086.4104391677,21350.427979823,19143.8516053025,23087.2256438476,25096.2638838239,25466.7605170594,27182.7343101936,29249.5752209742,28732.2310762599,29288.8704389833,31616.8434004683,33422.9442100836,31936.7963534728,31631.4694509866
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,7157.81449985734,7544.56872335784,7593.1373448964,7075.36964299974,7484.486398707,8277.67156384567,9068.29421839425,9642.68051672231,10016.5712139986,8002.97217765844,9271.39839576997,10203.4212952716,10241.727828043,10725.1835873796,10928.9160089988,9616.64555810607,8744.51555912786,9287.84958732302,9686.98492655586,9950.45008048459,8329.27131263927
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,26149.41107829,26873.2759335114,29204.0398310254,35672.2065978453,40362.3947822685,41979.0558457881,44863.3506314287,51733.4421317965,57644.4799749353,52514.0271165323,50950.0343435181,54159.3466126142,50073.0056559308,52184.0618504931,52830.1742328055,45175.2318933798,46007.8529206547,48554.9922761756,53018.6293562696,52476.2732533327,52397.1167129558
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1771.59405905827,2100.35251171829,2377.52957748244,2975.12535330125,4102.36483299792,5323.46308263383,6920.18912483291,9101.25504905672,11635.2729337888,8562.81327716515,10674.9957825675,14311.0843159612,15420.8745413273,15974.6446270517,14095.648742954,9313.01362484996,8704.89841329594,10720.3326583505,11287.3552780815,11497.6492498593,10126.7217935297
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,9171.33147630515,8684.64576229464,8695.39648348233,9609.96868647714,11185.1370411547,13791.454761932,15384.7383584183,16516.6317804658,20078.2600730401,16113.1437100059,19262.5476010256,23745.8805777495,25243.6019982366,24845.1246637862,24464.2125570307,20627.9269288204,19878.7638365016,20802.4663134648,23337.0175494347,23139.7979808237,20110.3161924912
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,14713.0657111519,15355.7031663439,17025.5319828692,21463.4426577449,24861.2827964413,26419.2968638221,28365.3134896346,32549.9709785513,35366.2596011983,32042.4740786617,30502.7197080776,31636.4463142558,28324.4293363918,29059.5479522321,29461.5503337389,25732.0183647454,26505.3432155204,28100.5862419453,30349.7520984361,29555.3156985079,27063.1939180299
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,38952.0342005572,39727.8466713883,42578.7631355696,49470.3971259674,54878.4710009787,56546.7856553987,59300.6172165015,65359.5192218269,74572.232372807,72083.167695454,77117.126014204,91254.0347609687,86547.6708907265,88109.4867524037,89684.7075795936,84776.1421659748,83073.2800824812,83352.0886533412,86388.4049527184,85334.5194620909,87097.0364503764
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,4337.47800296354,3142.92099774582,3687.95609325031,4760.1040190451,6101.63211660696,7456.2961006749,8101.85692374776,9791.88245001167,10941.172146426,9103.47405061243,10742.7749787626,11420.5554558378,11795.6334567571,12614.7816100386,12157.9904337823,11006.2795239649,10894.6033779275,10589.667724687,9454.34844272271,9121.51516673708,8536.43331960632
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,28223.0675706515,27806.4488245133,30049.8963232066,34487.4675722539,40371.7108259838,42132.0907219815,44654.0969208924,50653.2569148306,47549.3486286006,38952.2110262455,39688.6149684498,42284.8844902996,42686.8000524926,43713.8141242308,47787.2412984884,45404.5677734722,41499.5557033073,40857.7555829627,43646.9519711493,43070.4983595888,41124.5347686731
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,36334.9087770589,37133.2428088526,38023.1611144021,39496.4858751381,41712.8010675545,44114.7477810544,46298.7314440927,47975.9676958038,48382.5584490552,47099.9804711343,48466.6576026922,49882.5581321495,51602.9310457907,53106.5367672165,55049.9883272312,56863.3714957652,58021.4004997125,60109.6557260477,63064.4184096731,65279.5290260953,63413.5138584508
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.6635420423,437.26874023514,543.306526178281,591.190030208565,638.845851607289,624.315454506615,614.223342360392,556.007220861443,512.012778129357,516.679862210543,485.668418729808,494.179349886029,516.747870807558
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5395.65953185375,5246.29230634793
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1765.02714611601,1740.60665427662,1781.82890798394,2103.38129106939,2610.18542243488,3113.09488313746,3478.71000237566,3950.5129931247,4923.63161541179,3883.27090043586,4480.78631766464,5455.67940349747,5592.22011465753,5499.58733105334,5493.05669453687,4177.8895415169,3946.45244712537,4109.69821695727,4142.01855842917,3989.66827645236,3306.85820838104
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,8666.65538195914,8807.46281200101,8528.24877689163,8395.31877025371,8340.52343974691,8874.87792759607,9740.82449121586,11910.013233348,10216.8176306968,10223.2983588916,11496.5240977923,11450.7241954879,11525.1563872309,12059.6351646776,12038.2496994923,11003.8297642807,11521.6097798453,11715.3601388487,12844.9009909959
